一丁不识	形容一个字也不认识。
一丁点儿	形容极少或极小。
一丁至微	一丁：一个钉子；至微：极其微小。一个极其微小的钉子。比喻极微小的东西。
一不扭众	一个人难违反众人的意见。
一不拗众	一个人难违反众人的意见。
一世两清	旧指兄弟两人都是清明廉正的官吏。
一世之利	天下的利益。
一世之雄	雄：英雄豪杰。一个时代的英雄人物。
一世师表	师表：学习的榜样。足以供一代人效法，起表率作用的人。
一世龙门	一世：一代；龙门：后汉时李膺有重名，后起的文人有登门拜访的，称之登龙门。称文人所崇仰的人物。
一丘一壑	丘：土山；壑：山沟。原指隐者所居之地。后多用以指寄情山水。
一丘之貉	丘：土山；貉：一种形似狐狸的野兽。一个土山里的貉。比喻彼此同是丑类，没有什么差别。
一东一西	一个在东，一个在西。指各在遥远的一方。也比喻背道而驰。
一丝一毫	丝、毫：十丝为一毫，十毫为一厘。一点点儿，极小或极少。
一丝不乱	一点也不紊乱。形容布置或收拾得非常整齐。
一丝不挂	原是佛教用来比喻人没有一丝牵挂。后指人裸体。
一丝不紊	一点儿也不乱。形容极有条理。
一丝不苟	苟：苟且，马虎。指做事认真细致，一点儿不马虎。
一丝不走	丝：蚕丝，引申为微小。一点也不走样。形容十分精确，与原样完全相合。
一丝两气	指如同一根丝一般十分疲软，上气不接下气。也可形容人呼吸微弱，将要断气的样子。
一丝半粟	比喻极微小的东西。
一丝半缕	丝：蚕丝；缕：线。一条丝，半条线。形容非常细微。
一个半个	指为数甚少。
一个心眼	指专心一意。比喻很固执已见，不知变通。也比喻同某人思想很一致。
一串骊珠	骊珠：一种珍贵的珠，传说出自骊龙颔下。比喻歌声宛转就象成串的骊珠一样。
一丸可封	一丸：一团小泥丸；封：封闭。用一小团小泥丸就可把函谷关封闭住。比喻地形险要，用少量兵力即可固守。
一举一动	指人的每一个动作。
一举万里	比喻前程远大。同“一举千里”。
一举三反	指善于推理，能由此及彼。
一举两便	举：举动、动作。做一件事得到两方面的好处。
一举两全	指一举措而能顾全两面。
一举两利	举：举动、动作。做一件事得到两方面的好处。
一举两失	举：举动。指一件事带来两方面的损失。形容十分错误的举动。
一举两得	做一件事得到两方面的好处。
一举千里	一飞就是一千里。比喻前程远大。
一举成名	原指一旦中了科举就扬名天下。后指一下子就出了名。
一举手力	比喻不费力，只是一抬手那样。
一之为甚	做了一次，已经过分。比喻错误不能重犯。同“一之谓甚”。
一之已甚	做了一次，已经过分。比喻错误不能重犯。同“一之谓甚”。
一之谓甚	甚：过分。做了一次，已经过分。比喻错误不能重犯。
一乱涂地	形容乱到不可收拾。
一了千明	主要的问题了解以后，其余的问题也就清楚明白了。
一了百了	了：了结，解决。把一件主要的事情了结以后，其余有关的事情也跟着了结。
一了百当	了：完成；当：适宜，恰当。指办事妥当、彻底。
一予一夺	一回儿给了，一回儿又拿回去。
一事不知	比喻知识尚有欠缺。同“一物不知”。
一事无成	连一样事情也没有做成。指什么事情都做不成。形容毫无成就。
一事未成	连一样事情也没有做成。指什么事情都做不成。形容毫无成就。
一二其详	详：详尽。逐条地说清楚。
